date,commodity,market_location,price,currency,source,commodity_std,source_type
2013-11-01,Iron Ore,India - Wholesale Price Index,85.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-12-01,Grain,India - Wholesale Price Index,125.466667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2013-12-01,Iron Ore,India - Wholesale Price Index,94.1,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2013-12-01,Coal,India - Wholesale Price Index,104.65,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-01-01,Iron Ore,India - Wholesale Price Index,94.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-01-01,Grain,India - Wholesale Price Index,125.233333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-01-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-02-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-02-01,Grain,India - Wholesale Price Index,125.2,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-02-01,Iron Ore,India - Wholesale Price Index,93.0,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-03-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-03-01,Grain,India - Wholesale Price Index,125.433333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-03-01,Iron Ore,India - Wholesale Price Index,90.0,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-04-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-04-01,Grain,India - Wholesale Price Index,124.466667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-04-01,Iron Ore,India - Wholesale Price Index,88.1,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-05-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-05-01,Grain,India - Wholesale Price Index,123.333333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-05-01,Iron Ore,India - Wholesale Price Index,88.9,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-06-01,Grain,India - Wholesale Price Index,123.233333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-06-01,Iron Ore,India - Wholesale Price Index,95.4,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-06-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-07-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-07-01,Grain,India - Wholesale Price Index,126.133333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-07-01,Iron Ore,India - Wholesale Price Index,96.5,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-08-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-08-01,Grain,India - Wholesale Price Index,126.0,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-08-01,Iron Ore,India - Wholesale Price Index,97.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-09-01,Grain,India - Wholesale Price Index,124.233333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-09-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-09-01,Iron Ore,India - Wholesale Price Index,98.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-10-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-10-01,Grain,India - Wholesale Price Index,123.4,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-10-01,Iron Ore,India - Wholesale Price Index,97.9,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-11-01,Grain,India - Wholesale Price Index,122.966667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-11-01,Iron Ore,India - Wholesale Price Index,97.5,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-11-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2014-12-01,Iron Ore,India - Wholesale Price Index,95.0,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2014-12-01,Grain,India - Wholesale Price Index,123.1,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2014-12-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-01-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-01-01,Grain,India - Wholesale Price Index,124.9,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-01-01,Iron Ore,India - Wholesale Price Index,93.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-02-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-02-01,Grain,India - Wholesale Price Index,124.866667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-02-01,Iron Ore,India - Wholesale Price Index,83.9,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-03-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-03-01,Grain,India - Wholesale Price Index,125.666667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-03-01,Iron Ore,India - Wholesale Price Index,79.5,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-04-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-04-01,Grain,India - Wholesale Price Index,124.6,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-04-01,Iron Ore,India - Wholesale Price Index,68.3,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-05-01,Grain,India - Wholesale Price Index,123.133333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-05-01,Iron Ore,India - Wholesale Price Index,65.0,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-05-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-06-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-06-01,Grain,India - Wholesale Price Index,122.666667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-06-01,Iron Ore,India - Wholesale Price Index,63.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-07-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-07-01,Grain,India - Wholesale Price Index,123.9,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-07-01,Iron Ore,India - Wholesale Price Index,56.9,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-08-01,Grain,India - Wholesale Price Index,124.833333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-08-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-08-01,Iron Ore,India - Wholesale Price Index,54.2,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-09-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-09-01,Grain,India - Wholesale Price Index,125.666667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-09-01,Iron Ore,India - Wholesale Price Index,58.8,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-10-01,Grain,India - Wholesale Price Index,127.266667,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-10-01,Iron Ore,India - Wholesale Price Index,50.1,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-10-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-11-01,Iron Ore,India - Wholesale Price Index,50.6,INDEX,"Office of Economic Adviser, India - WPI (direct series)",IRON_ORE,OBSERVED_ORIGINAL
2015-11-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-11-01,Grain,India - Wholesale Price Index,128.833333,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
2015-12-01,Coal,India - Wholesale Price Index,105.5,INDEX,"Office of Economic Adviser, India - WPI (Coking + Non-Coking Coal composite)",COAL,OBSERVED_ORIGINAL
2015-12-01,Grain,India - Wholesale Price Index,130.8,INDEX,"Office of Economic Adviser, India - WPI (Wheat + Maize + Rice composite)",GRAIN,OBSERVED_ORIGINAL
