date,indicator_name,value,unit,source,source_type
2022-04-01,PALM_OIL_SHIPPING_DEMAND_PROXY,240.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,180.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-04-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,90.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-05-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,COKING_COAL_SHIPPING_DEMAND_PROXY,150.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,GRAIN_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,IRON_ORE_SHIPPING_DEMAND_PROXY,120.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,PALM_OIL_SHIPPING_DEMAND_PROXY,240.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,180.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-06-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,90.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-07-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,COKING_COAL_SHIPPING_DEMAND_PROXY,155.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,GRAIN_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,IRON_ORE_SHIPPING_DEMAND_PROXY,124.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,PALM_OIL_SHIPPING_DEMAND_PROXY,248.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,POL/CRUDE_SHIPPING_DEMAND_PROXY,186.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-08-01,THERMAL_COAL_SHIPPING_DEMAND_PROXY,93.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
2022-09-01,COKING_COAL_SHIPPING_DEMAND_PROXY,150.0,ROUTE OBSERVATIONS,DERIVED: monthly historical freight route activity; demand proxy,DERIVED_PROXY
