date,port_or_benchmark,fuel_type,price,currency,unit,region,source
2019-04-04,Chennai,Marine Fuel 0.5% / MFO 0.5%,477.907377,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Chennai,HFHSD / LSHF HSD,677.52082,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-04,Kamarajar Port (Ennore),HFHSD / LSHF HSD,677.52082,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Paradip,Marine Fuel 0.5% / MFO 0.5%,463.069536,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Visakhapatnam,Marine Fuel 0.5% / MFO 0.5%,454.212213,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Visakhapatnam,HFHSD / LSHF HSD,678.636421,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,V.O. Chidambaranar Port (Tuticorin),Marine Fuel 0.5% / MFO 0.5%,477.351721,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,V.O. Chidambaranar Port (Tuticorin),HFHSD / LSHF HSD,683.266038,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Paradip,HFHSD / LSHF HSD,678.052896,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Haldia,HFHSD / LSHF HSD,687.67571,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Kamarajar Port (Ennore),HFHSD / LSHF HSD,676.618525,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Haldia,Marine Fuel 0.5% / MFO 0.5%,457.210683,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Kamarajar Port (Ennore),Marine Fuel 0.5% / MFO 0.5%,477.351721,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Chennai,Marine Fuel 0.5% / MFO 0.5%,477.351721,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
2019-04-05,Chennai,HFHSD / LSHF HSD,676.618525,USD,USD/MT,India East Coast,Indian Shipping Statistics 2025 / Indian Oil Corporation
